job_id,run_id,model,optimizer,N,seed,lr,eta_muon,d,M,gamma0,batch_size,target_seed,p_min,p_max,p_num,p_targets,eval_batch_size
11,toy_lin3_muon_N128_s0_eta0.3,lin3,muon,128,0,0.01,0.3,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
12,toy_lin3_sgd_N1024_s0_lr0.001,lin3,sgd,1024,0,0.001,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
13,toy_lin3_muon_N1024_s0_eta0.001,lin3,muon,1024,0,0.01,0.001,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
14,toy_lin3_sgd_N1024_s0_lr0.003,lin3,sgd,1024,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
15,toy_lin3_muon_N1024_s0_eta0.003,lin3,muon,1024,0,0.01,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
16,toy_lin3_sgd_N1024_s0_lr0.01,lin3,sgd,1024,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
17,toy_lin3_muon_N1024_s0_eta0.01,lin3,muon,1024,0,0.01,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
18,toy_lin3_sgd_N1024_s0_lr0.03,lin3,sgd,1024,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
19,toy_lin3_muon_N1024_s0_eta0.03,lin3,muon,1024,0,0.01,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
20,toy_lin3_sgd_N1024_s0_lr0.1,lin3,sgd,1024,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
21,toy_lin3_muon_N1024_s0_eta0.1,lin3,muon,1024,0,0.01,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
22,toy_lin3_sgd_N1024_s0_lr0.3,lin3,sgd,1024,0,0.3,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
23,toy_lin3_muon_N1024_s0_eta0.3,lin3,muon,1024,0,0.01,0.3,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
24,toy_nonlin2_sgd_N128_s0_lr0.001,nonlin2,sgd,128,0,0.001,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
25,toy_nonlin2_muon_N128_s0_eta0.001,nonlin2,muon,128,0,0.1,0.001,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
26,toy_nonlin2_sgd_N128_s0_lr0.003,nonlin2,sgd,128,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
27,toy_nonlin2_muon_N128_s0_eta0.003,nonlin2,muon,128,0,0.1,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
28,toy_nonlin2_sgd_N128_s0_lr0.01,nonlin2,sgd,128,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
29,toy_nonlin2_muon_N128_s0_eta0.01,nonlin2,muon,128,0,0.1,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
30,toy_nonlin2_sgd_N128_s0_lr0.03,nonlin2,sgd,128,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
31,toy_nonlin2_muon_N128_s0_eta0.03,nonlin2,muon,128,0,0.1,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
32,toy_nonlin2_sgd_N128_s0_lr0.1,nonlin2,sgd,128,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
33,toy_nonlin2_muon_N128_s0_eta0.1,nonlin2,muon,128,0,0.1,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
34,toy_nonlin2_sgd_N128_s0_lr0.3,nonlin2,sgd,128,0,0.3,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
35,toy_nonlin2_muon_N128_s0_eta0.3,nonlin2,muon,128,0,0.1,0.3,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
36,toy_nonlin2_sgd_N1024_s0_lr0.001,nonlin2,sgd,1024,0,0.001,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
37,toy_nonlin2_muon_N1024_s0_eta0.001,nonlin2,muon,1024,0,0.1,0.001,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
38,toy_nonlin2_sgd_N1024_s0_lr0.003,nonlin2,sgd,1024,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
39,toy_nonlin2_muon_N1024_s0_eta0.003,nonlin2,muon,1024,0,0.1,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
40,toy_nonlin2_sgd_N1024_s0_lr0.01,nonlin2,sgd,1024,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
41,toy_nonlin2_muon_N1024_s0_eta0.01,nonlin2,muon,1024,0,0.1,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
42,toy_nonlin2_sgd_N1024_s0_lr0.03,nonlin2,sgd,1024,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
43,toy_nonlin2_muon_N1024_s0_eta0.03,nonlin2,muon,1024,0,0.1,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
44,toy_nonlin2_sgd_N1024_s0_lr0.1,nonlin2,sgd,1024,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
45,toy_nonlin2_muon_N1024_s0_eta0.1,nonlin2,muon,1024,0,0.1,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
46,toy_nonlin2_sgd_N1024_s0_lr0.3,nonlin2,sgd,1024,0,0.3,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
47,toy_nonlin2_muon_N1024_s0_eta0.3,nonlin2,muon,1024,0,0.1,0.3,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
48,toy_nonlin3_sgd_N128_s0_lr0.001,nonlin3,sgd,128,0,0.001,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
49,toy_nonlin3_muon_N128_s0_eta0.001,nonlin3,muon,128,0,0.1,0.001,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
50,toy_nonlin3_sgd_N128_s0_lr0.003,nonlin3,sgd,128,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
51,toy_nonlin3_muon_N128_s0_eta0.003,nonlin3,muon,128,0,0.1,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
52,toy_nonlin3_sgd_N128_s0_lr0.01,nonlin3,sgd,128,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
53,toy_nonlin3_muon_N128_s0_eta0.01,nonlin3,muon,128,0,0.1,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
54,toy_nonlin3_sgd_N128_s0_lr0.03,nonlin3,sgd,128,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
55,toy_nonlin3_muon_N128_s0_eta0.03,nonlin3,muon,128,0,0.1,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
56,toy_nonlin3_sgd_N128_s0_lr0.1,nonlin3,sgd,128,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
57,toy_nonlin3_muon_N128_s0_eta0.1,nonlin3,muon,128,0,0.1,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
58,toy_nonlin3_sgd_N128_s0_lr0.3,nonlin3,sgd,128,0,0.3,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
59,toy_nonlin3_muon_N128_s0_eta0.3,nonlin3,muon,128,0,0.1,0.3,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
60,toy_nonlin3_sgd_N1024_s0_lr0.001,nonlin3,sgd,1024,0,0.001,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
61,toy_nonlin3_muon_N1024_s0_eta0.001,nonlin3,muon,1024,0,0.1,0.001,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
62,toy_nonlin3_sgd_N1024_s0_lr0.003,nonlin3,sgd,1024,0,0.003,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
63,toy_nonlin3_muon_N1024_s0_eta0.003,nonlin3,muon,1024,0,0.1,0.003,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
64,toy_nonlin3_sgd_N1024_s0_lr0.01,nonlin3,sgd,1024,0,0.01,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
65,toy_nonlin3_muon_N1024_s0_eta0.01,nonlin3,muon,1024,0,0.1,0.01,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
66,toy_nonlin3_sgd_N1024_s0_lr0.03,nonlin3,sgd,1024,0,0.03,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
67,toy_nonlin3_muon_N1024_s0_eta0.03,nonlin3,muon,1024,0,0.1,0.03,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
68,toy_nonlin3_sgd_N1024_s0_lr0.1,nonlin3,sgd,1024,0,0.1,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
69,toy_nonlin3_muon_N1024_s0_eta0.1,nonlin3,muon,1024,0,0.1,0.1,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
70,toy_nonlin3_sgd_N1024_s0_lr0.3,nonlin3,sgd,1024,0,0.3,,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
71,toy_nonlin3_muon_N1024_s0_eta0.3,nonlin3,muon,1024,0,0.1,0.3,512,8,3.0,512,4242,10000,2048000,15,"0,10240,14848,21504,31744,46080,67072,98304,143360,209408,306176,448000,654848,957952,1400832,2048000",8192
